"filename", "language", "JSON", "JavaScript", "Markdown", "Vue", "HTML", "CSS", "SCSS", "XML", "comment", "blank", "total"
"f:\R产品线\tcndemo\src\views\RecordHeader.vue", "Vue", 0, 0, 0, 158, 0, 0, 0, 0, 0, 8, 166
"f:\R产品线\tcndemo\src\views\pages\Types.js", "JavaScript", 0, 2137, 0, 0, 0, 0, 0, 0, 349, 254, 2740
"f:\R产品线\tcndemo\src\views\pages\controlCom\HDMIOutput.vue", "Vue", 0, 0, 0, 112, 0, 0, 0, 0, 0, 11, 123
"f:\R产品线\tcndemo\src\views\pages\controlCom\TwoStepDial.vue", "Vue", 0, 0, 0, 134, 0, 0, 0, 0, 0, 7, 141
"f:\R产品线\tcndemo\src\views\pages\controlCom\audioLevels.vue", "Vue", 0, 0, 0, 141, 0, 0, 0, 0, 0, 5, 146
"f:\R产品线\tcndemo\src\views\pages\controlCom\bottomController.vue", "Vue", 0, 0, 0, 542, 0, 0, 0, 0, 3, 23, 568
"f:\R产品线\tcndemo\src\views\pages\controlCom\callRecord.vue", "Vue", 0, 0, 0, 52, 0, 0, 0, 0, 0, 3, 55
"f:\R产品线\tcndemo\src\views\pages\controlCom\confControl.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\R产品线\tcndemo\src\views\pages\controlCom\layoutSetting\Container.vue", "Vue", 0, 0, 0, 170, 0, 0, 0, 0, 0, 13, 183
"f:\R产品线\tcndemo\src\views\pages\controlCom\layoutSetting\Footer.vue", "Vue", 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"f:\R产品线\tcndemo\src\views\pages\controlCom\layoutSetting\Header.vue", "Vue", 0, 0, 0, 55, 0, 0, 0, 0, 0, 4, 59
"f:\R产品线\tcndemo\src\views\pages\controlCom\layoutSetting\index.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"f:\R产品线\tcndemo\src\views\pages\controlCom\liveRecord.vue", "Vue", 0, 0, 0, 128, 0, 0, 0, 0, 5, 6, 139
"f:\R产品线\tcndemo\src\views\pages\controlCom\locale\controlCn.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"f:\R产品线\tcndemo\src\views\pages\controlCom\locale\controlEn.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"f:\R产品线\tcndemo\src\views\pages\controlCom\meetingControl.vue", "Vue", 0, 0, 0, 150, 0, 0, 0, 0, 1, 12, 163
"f:\R产品线\tcndemo\src\views\pages\controlCom\meetingController.vue", "Vue", 0, 0, 0, 352, 0, 0, 0, 0, 0, 31, 383
"f:\R产品线\tcndemo\src\views\pages\controlCom\mpType.vue", "Vue", 0, 0, 0, 387, 0, 0, 0, 0, 0, 20, 407
"f:\R产品线\tcndemo\src\views\pages\controlCom\previewItem.vue", "Vue", 0, 0, 0, 137, 0, 0, 0, 0, 0, 6, 143
"f:\R产品线\tcndemo\src\views\pages\controlCom\previewVideo.vue", "Vue", 0, 0, 0, 120, 0, 0, 0, 0, 0, 10, 130
"f:\R产品线\tcndemo\src\views\pages\controlCom\telAddress.vue", "Vue", 0, 0, 0, 101, 0, 0, 0, 0, 0, 4, 105
"f:\R产品线\tcndemo\src\views\pages\controller.vue", "Vue", 0, 0, 0, 49, 0, 0, 0, 0, 0, 2, 51
"f:\R产品线\tcndemo\src\views\pages\interface.vue", "Vue", 0, 0, 0, 265, 0, 0, 0, 0, 1, 15, 281
"f:\R产品线\tcndemo\src\views\pages\interfaceCom\fixInterface.vue", "Vue", 0, 0, 0, 318, 0, 0, 0, 0, 2, 9, 329
"f:\R产品线\tcndemo\src\views\pages\layoutSet.vue", "Vue", 0, 0, 0, 242, 0, 0, 0, 0, 4, 11, 257
"f:\R产品线\tcndemo\src\views\pages\liveSetting.vue", "Vue", 0, 0, 0, 136, 0, 0, 0, 0, 0, 10, 146
"f:\R产品线\tcndemo\src\views\pages\login.vue", "Vue", 0, 0, 0, 187, 0, 0, 0, 0, 0, 12, 199
"f:\R产品线\tcndemo\src\views\pages\player.vue", "Vue", 0, 0, 0, 498, 0, 0, 0, 0, 4, 28, 530
"f:\R产品线\tcndemo\src\views\pages\recordSetting\previewItem.vue", "Vue", 0, 0, 0, 86, 0, 0, 0, 0, 0, 4, 90
"f:\R产品线\tcndemo\src\views\pages\recordSetting\previewVideo.vue", "Vue", 0, 0, 0, 118, 0, 0, 0, 0, 0, 9, 127
"f:\R产品线\tcndemo\src\views\pages\recordSetting\recordMp.vue", "Vue", 0, 0, 0, 164, 0, 0, 0, 0, 0, 9, 173
"f:\R产品线\tcndemo\src\views\pages\recordSetting\recordMpType.vue", "Vue", 0, 0, 0, 275, 0, 0, 0, 0, 0, 18, 293
"f:\R产品线\tcndemo\src\views\pages\recordSetting\recordSetting.vue", "Vue", 0, 0, 0, 57, 0, 0, 0, 0, 0, 2, 59
"f:\R产品线\tcndemo\src\views\pages\recordSetting\setting.vue", "Vue", 0, 0, 0, 140, 0, 0, 0, 0, 0, 12, 152
"f:\R产品线\tcndemo\src\views\pages\settingPages\lang\setCn.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 1, 64
"f:\R产品线\tcndemo\src\views\pages\settingPages\lang\setEn.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 2, 57
"f:\R产品线\tcndemo\stats.html", "HTML", 0, 0, 0, 0, 135, 0, 0, 0, 4685, 19, 4839
"f:\R产品线\tcndemo\vite.config.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 0, 7, 1, 94
"Total", "-", 4462, 7215, 22, 6112, 473, 471, 65, 2, 5396, 1369, 25587
